        X,         Y
 0.098645,  0.009017
-0.011841,  0.080466
 0.064712,  0.001655
 0.091624,  0.069942
 0.032589,  0.234989
-0.087235,  0.279825
 0.095854,  0.430686
 0.002423,  0.337313
 0.176855,  0.492122
 0.046780,  0.518370
 0.056945,  0.612842
 0.158250,  0.526008
-0.017548,  0.686911
 0.103561,  0.833873
 0.125695,  0.756002
 0.077535,  0.918209
 0.240310,  0.826210
 0.145591,  0.933296
 0.097358,  0.877937
 0.152905,  0.925748
 0.379890,  0.865255
 0.105481,  1.087455
 0.218362,  1.029122
 0.155545,  0.941489
 0.254090,  0.967270
 0.362162,  1.038581
 0.230335,  0.949227
 0.245209,  1.039954
 0.325261,  1.035613
 0.212306,  0.937295
 0.383155,  0.839943
 0.345563,  0.849864
 0.382935,  0.873159
 0.458431,  0.852175
 0.390692,  0.753000
 0.325207,  0.820488
 0.182716,  0.757217
 0.322378,  0.681094
 0.398023,  0.797729
 0.309043,  0.594941
 0.364098,  0.534992
 0.437436,  0.568069
 0.430075,  0.387481
 0.382088,  0.457493
 0.436552,  0.366658
 0.522561,  0.331126
 0.356945,  0.280348
 0.437882,  0.199714
 0.441147,  0.118062
 0.403782,  0.140876
 0.401161, -0.135914
 0.440520, -0.098524
 0.586525, -0.158096
 0.553980, -0.289728
 0.520505, -0.246291
 0.714861, -0.382857
 0.453383, -0.481696
 0.610951, -0.383808
 0.678767, -0.435135
 0.617654, -0.480373
 0.657111, -0.590115
 0.684601, -0.733779
 0.570440, -0.710890
 0.605503, -0.806134
 0.727481, -0.824596
 0.708291, -0.956300
 0.726449, -0.906433
 0.516909, -0.939704
 0.668004, -0.849352
 0.726097, -0.982450
 0.720248, -0.981854
 0.712257, -0.920019
 0.776209, -1.099852
 0.827726, -0.926256
 0.739965, -1.063246
 0.742684, -0.984030
 0.662504, -1.022917
 0.778176, -0.941307
 0.855938, -0.885767
 0.921562, -1.016611
 0.733990, -0.839550
 0.713645, -0.967665
 0.903823, -0.993765
 0.891444, -0.774081
 0.770057, -0.755340
 0.733613, -0.822647
 0.866815, -0.755855
 0.903402, -0.678895
 0.950191, -0.726039
 0.864051, -0.492807
 0.941577, -0.522584
 0.918364, -0.383782
 1.077569, -0.517297
 0.956590, -0.282626
 0.979862, -0.501468
 0.904984, -0.283556
 0.951738, -0.099505
 1.123787, -0.092746
 1.055496,  0.024104
 0.963775, -0.048683
